Symbol,Series,Date,Prev Close,Adj. Open,Adj. High,Adj. Low,Adj. Volume,Adj. Close,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
N100,EQ,15-Mar-16,293.72,296,296,292,296,296,295.24,1090,3.22,64,766,70.28
N100,EQ,16-Mar-16,296,296,296.49,290.82,292,292,293.23,785,2.3,29,640,81.53
N100,EQ,17-Mar-16,292,314.94,314.95,292.05,292.05,292.46,294.06,706,2.08,49,469,66.43
N100,EQ,18-Mar-16,292.46,295.1,295.79,290.52,292,292.02,293.94,764,2.25,40,521,68.19
N100,EQ,21-Mar-16,292.02,296,296,290.22,291,292.72,294.56,1131,3.33,74,890,78.69
N100,EQ,22-Mar-16,292.72,294,294,290.1,293.8,293.81,292.62,594,1.74,42,345,58.08
N100,EQ,23-Mar-16,293.81,293,294.99,282.7,290,290.1,289.07,1006,2.91,73,632,62.82
N100,EQ,28-Mar-16,290.1,299.8,299.8,290.11,296.5,296.5,295.97,1027,3.04,75,892,86.85
N100,EQ,29-Mar-16,296.5,294,295,290,295,294.9,292.99,765,2.24,40,510,66.67
N100,EQ,30-Mar-16,294.9,294.9,297.84,291,291,291.03,293.08,605,1.77,34,526,86.94
N100,EQ,31-Mar-16,291.03,291,296.48,291,293.06,293.54,294.22,280,0.82,31,210,75
N100,EQ,1-Apr-16,293.54,299.45,299.45,293.1,293.1,294.82,296,463,1.37,37,463,100
N100,EQ,4-Apr-16,294.82,291,299.47,291,296.5,296.5,296.38,1287,3.81,86,930,72.26
N100,EQ,5-Apr-16,296.5,296.02,298.99,296,296.8,296.8,296.68,651,1.93,38,554,85.1
N100,EQ,6-Apr-16,296.8,297.2,297.2,293.2,293.41,293.67,295.21,420,1.24,29,301,71.67
N100,EQ,7-Apr-16,293.67,299.45,308,294.1,300,300,301.08,2759,8.31,82,2306,83.58
N100,EQ,8-Apr-16,300,303,310,294.55,296,297.91,303.56,1909,5.79,93,1579,82.71
N100,EQ,11-Apr-16,297.91,301.88,301.88,295,295.01,296.98,298.92,1202,3.59,90,882,73.38
N100,EQ,12-Apr-16,296.98,300.5,300.5,295.5,298,298,299.66,444,1.33,24,391,88.06
N100,EQ,13-Apr-16,298,298,301,298,298,298,299.36,452,1.35,26,312,69.03
N100,EQ,18-Apr-16,298,301.87,308.5,300,306.9,306.16,306.11,1375,4.21,128,998,72.58
N100,EQ,20-Apr-16,306.16,308.94,308.94,302,305,304.72,304.86,565,1.72,55,357,63.19
N100,EQ,21-Apr-16,304.72,309,309,301.01,304,304,304.03,283,0.86,31,259,91.52
N100,EQ,22-Apr-16,304,304,304,297,298.15,299.79,300.61,1666,5.01,66,1488,89.32
N100,EQ,25-Apr-16,299.79,310,310,297,302.5,301.84,301.58,1667,5.03,63,1621,97.24
N100,EQ,26-Apr-16,301.84,303.91,303.91,298,298,298,300.62,624,1.88,39,455,72.92
N100,EQ,27-Apr-16,298,302.99,303,291,293,292.12,295.13,1251,3.69,94,815,65.15
N100,EQ,28-Apr-16,292.12,301.99,301.99,290,296.5,294.1,293.34,730,2.14,57,541,74.11
N100,EQ,29-Apr-16,294.1,303,309.7,294.51,300,300,302.68,1097,3.32,77,697,63.54
N100,EQ,2-May-16,300,302,302,296.01,299.96,297.68,299.56,867,2.6,71,659,76.01
N100,EQ,3-May-16,297.68,300.1,311.6,292,292,295.1,301.6,3475,10.48,109,1440,41.44
N100,EQ,4-May-16,295.1,299.86,299.86,283.5,287.1,289.94,289.88,4772,13.83,102,4026,84.37
N100,EQ,5-May-16,289.94,297.99,298,291,292.01,294.66,293.67,676,1.99,52,455,67.31
N100,EQ,6-May-16,294.66,295.69,298.65,291.01,291.01,292.26,295.77,911,2.69,53,555,60.92
N100,EQ,9-May-16,292.26,298.58,298.65,293.3,293.3,294.77,297.01,1435,4.26,75,1031,71.85
N100,EQ,10-May-16,294.77,296.5,298.6,292.21,298,297.58,296.94,901,2.68,48,752,83.46
N100,EQ,11-May-16,297.58,298,298,296,298,297.99,297.45,414,1.23,22,292,70.53
N100,EQ,12-May-16,297.99,298.49,298.5,294.61,297.5,297.5,296.99,434,1.29,33,336,77.42
N100,EQ,13-May-16,297.5,298.65,298.65,294.15,298,297.99,297.29,305,0.91,28,221,72.46
N100,EQ,16-May-16,297.99,300.01,306.15,295.51,295.51,295.51,298.53,1537,4.59,132,924,60.12
N100,EQ,17-May-16,295.51,297.15,298.99,296,298.99,298.99,297.13,478,1.42,28,360,75.31
N100,EQ,18-May-16,298.99,293.7,297.99,293.7,294.55,295.85,296.04,354,1.05,32,168,47.46
N100,EQ,19-May-16,295.85,301.9,301.9,297.1,299.4,299.4,299.33,998,2.99,24,708,70.94
N100,EQ,20-May-16,299.4,302,305,296.02,296.15,296.15,299.57,816,2.44,39,690,84.56
N100,EQ,23-May-16,296.15,301.8,301.8,296.21,299.9,298.32,299.22,1345,4.02,76,854,63.49
N100,EQ,24-May-16,298.32,301.88,301.88,292.75,293,293.01,295.3,1709,5.05,55,1284,75.13
N100,EQ,25-May-16,293.01,295,295,290.01,295,295,294.8,2594,7.65,60,2157,83.15
N100,EQ,26-May-16,295,296.42,298.97,291.1,293.51,293.1,294.62,403,1.19,28,274,67.99
N100,EQ,27-May-16,293.1,295,295,290,294.99,290.53,293.16,2766,8.11,64,1584,57.27
N100,EQ,30-May-16,290.53,296.42,296.42,292.6,295,295,294.76,1259,3.71,49,1014,80.54
N100,EQ,31-May-16,295,296.42,296.42,294.51,294.95,294.95,295.01,518,1.53,24,411,79.34
N100,EQ,1-Jun-16,294.95,291.12,295,291.11,295,294.36,294.37,859,2.53,56,673,78.35
N100,EQ,2-Jun-16,294.36,295,295,292.66,294.95,293.78,294.06,542,1.59,34,315,58.12
N100,EQ,3-Jun-16,293.78,295,295,293.5,294,294,294.73,395,1.16,29,367,92.91
N100,EQ,6-Jun-16,294,291.99,295,291.99,292.3,292.7,294.72,2447,7.21,65,2195,89.7
N100,EQ,7-Jun-16,292.7,293.1,295,293.1,294.99,294.28,294.92,979,2.89,39,687,70.17
N100,EQ,8-Jun-16,294.28,294.98,294.99,293,293,293.67,293.65,596,1.75,26,388,65.1
N100,EQ,9-Jun-16,293.67,294.97,294.98,291.03,294.98,294.62,293.75,616,1.81,48,300,48.7
N100,EQ,10-Jun-16,294.62,294.98,297.93,292.25,294.1,294.1,294.64,389,1.15,36,297,76.35
N100,EQ,13-Jun-16,294.1,293,294.4,291.17,292.55,292.55,293.04,851,2.49,48,499,58.64
N100,EQ,14-Jun-16,292.55,294.72,294.72,290,290.1,290.32,291.27,432,1.26,36,386,89.35
N100,EQ,15-Jun-16,290.32,290.2,293.5,290.2,293.5,293.49,293.36,1132,3.32,70,877,77.47
N100,EQ,16-Jun-16,293.49,293.48,293.5,292,293.5,293.43,293.05,217,0.64,28,146,67.28
N100,EQ,17-Jun-16,293.43,292,294.99,291.5,294.99,294.9,294.82,606,1.79,37,417,68.81
N100,EQ,20-Jun-16,294.9,294.98,295,293.01,295,295,294.69,786,2.32,46,483,61.45
N100,EQ,21-Jun-16,295,294,295,293,293,293,294.35,1380,4.06,44,687,49.78
N100,EQ,22-Jun-16,293,293.01,294,289.7,292.2,292.2,292.34,2099,6.14,93,945,45.02
N100,EQ,23-Jun-16,292.2,294.98,294.98,291,291,291.9,293.86,321,0.94,34,245,76.32
N100,EQ,24-Jun-16,291.9,294.9,294.9,290,292,291.81,290.39,1548,4.5,44,1358,87.73
N100,EQ,27-Jun-16,291.81,295,295,292,295,294.34,294.36,1472,4.33,70,993,67.46
N100,EQ,28-Jun-16,294.34,299.99,299.99,288,292,288.53,292.42,2087,6.1,101,1758,84.24
N100,EQ,29-Jun-16,288.53,294,297.88,289.5,293,293,291.47,646,1.88,32,593,91.8
N100,EQ,30-Jun-16,293,295.98,295.98,291.01,293,293,293.56,518,1.52,27,345,66.6
N100,EQ,1-Jul-16,293,299,299.8,293,298,296.13,295.48,3492,10.32,113,2701,77.35
N100,EQ,4-Jul-16,296.13,300,314.5,299.95,302.9,302.9,303.31,1873,5.68,187,1322,70.58
N100,EQ,5-Jul-16,302.9,309.9,309.9,293,297.01,297.9,298,4102,12.22,186,2330,56.8
N100,EQ,7-Jul-16,297.9,304.99,304.99,296,299.84,296.58,299.95,1202,3.61,96,841,69.97
N100,EQ,8-Jul-16,296.58,300,308.8,297.35,297.35,297.35,302.01,1656,5,45,1283,77.48
N100,EQ,11-Jul-16,297.35,297.3,307.5,296.05,299.9,299.98,299.36,1926,5.77,114,1405,72.95
N100,EQ,12-Jul-16,299.98,295.65,300,295.65,296.31,296.31,298.59,1127,3.37,60,751,66.64
N100,EQ,13-Jul-16,296.31,301.96,304.89,297.15,299,298.84,300.72,1407,4.23,49,887,63.04
N100,EQ,14-Jul-16,298.84,302.84,302.84,297.01,300,300,299.48,421,1.26,24,268,63.66
N100,EQ,15-Jul-16,300,301,305.99,298.4,300,299.76,300.46,1588,4.77,68,1093,68.83
N100,EQ,18-Jul-16,299.76,299.9,304.44,298.07,300,300.37,302.75,918,2.78,70,735,80.07
N100,EQ,19-Jul-16,300.37,300.4,300.4,297.1,300,300,299.48,258,0.77,20,143,55.43
N100,EQ,20-Jul-16,300,299,303,291.01,299.99,298.75,297.43,6747,20.07,189,1137,16.85
N100,EQ,21-Jul-16,298.75,305.99,305.99,297.02,301.95,301.95,300.46,402,1.21,34,168,41.79
N100,EQ,22-Jul-16,301.95,299.99,300,297.2,300,299.96,299.9,802,2.41,33,690,86.03
N100,EQ,25-Jul-16,299.96,303.99,303.99,298.01,299.99,299.99,299.65,1870,5.6,68,968,51.76
N100,EQ,26-Jul-16,299.99,300,302.69,298,301,300.71,300.09,833,2.5,38,554,66.51
N100,EQ,27-Jul-16,300.71,301.79,304.46,299.21,302.99,302.99,301.76,859,2.59,39,412,47.96
N100,EQ,28-Jul-16,302.99,304.49,304.95,301.99,304.95,304.9,303.07,735,2.23,32,172,23.4
N100,EQ,29-Jul-16,304.9,304,304.9,294.5,297.71,297.92,298.12,4306,12.84,193,2241,52.04
